ID,Experiencia del Encuestado,Tarea,Descripcion_Tarea,Proyecto en el que se RealizÃƒÂ³ la Tarea:,Complejidad,Tipo_Tarea,Fase_Tarea,Cantidad_Recursos,Carga_Trabajo_R1,Experiencia_R1,Carga_Trabajo_R2,Experiencia_R2,Carga_Trabajo_R3,Experiencia_R3,Experiencia_Equipo,Claridad_Requisitos,Tamaño_Tarea,Tiempo_Ejecucion
146,Mid-Level,Normalización de tablas en base de datos,Eliminar redundancias y mejorar eficiencia con tercera forma normal.,CRM Empresarial,2,Database,Transición/Implementación,2,2,3,2,5,,,5,1,13,52
147,Senior,Implementación de microservicio de pagos,Desarrollar un microservicio en Node.js para procesar pagos.,Pasarela de Pagos,5,Backend,Transición/Implementación,1,3,1,,,,,1,4,5,121
148,Mid-Level,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,4,DevOps,Elaboración/Requisitos,1,3,5,,,,,5,3,13,193
149,Mid-Level,Implementación de replicación de base de datos,Configurar un cluster de replicación en PostgreSQL.,Sistema de Inventario,2,Database,Inicio/Conceptualización,1,2,2,,,,,3,3,21,178
150,Senior,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,1,Análisis,Construcción/Desarrollo,2,2,2,1,4,,,1,2,1,105
151,Senior,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,3,DevOps,Construcción/Desarrollo,2,1,4,3,1,,,1,1,21,182
152,Senior,Actualización de guÃ­as tÃ©cnicas,Actualizar la documentación interna de procedimientos.,Plataforma Interna,5,Documentación,Inicio/Conceptualización,3,3,4,1,4,1,1,4,2,21,199
153,Mid-Level,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,4,Análisis,Mantenimiento,1,1,3,,,,,1,2,1,52
154,Senior,Migración de base de datos a PostgreSQL,Convertir estructuras de MySQL a PostgreSQL y migrar datos.,Sistema de Facturación,4,Database,Transición/Implementación,3,3,3,2,3,2,5,2,4,5,50
155,Mid-Level,Implementación de CI/CD con GitHub Actions,Automatizar despliegues con integración continua.,Plataforma de Servicios,3,DevOps,Inicio/Conceptualización,1,1,2,,,,,1,5,21,72
156,Senior,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,4,DevOps,Mantenimiento,1,2,4,,,,,2,4,5,119
157,Mid-Level,Optimización de carga de imágenes,Implementar lazy loading y compresión de imágenes.,E-commerce,2,Frontend,Mantenimiento,1,2,3,,,,,4,4,21,127
158,Senior,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,2,DevOps,Mantenimiento,1,3,2,,,,,4,1,5,147
159,Junior,Migración de base de datos a PostgreSQL,Convertir estructuras de MySQL a PostgreSQL y migrar datos.,Sistema de Facturación,4,Database,Inicio/Conceptualización,2,1,3,1,4,,,3,2,1,52
160,Mid-Level,Implementación de replicación de base de datos,Configurar un cluster de replicación en PostgreSQL.,Sistema de Inventario,5,Database,Construcción/Desarrollo,3,1,5,3,1,3,5,2,1,8,52
161,Mid-Level,Diseño de interfaz de usuario para el panel de administración,Crear la UI del panel de administración con React y Tailwind.,Sistema de Gestión Interna,5,Frontend,Mantenimiento,2,3,4,3,4,,,2,2,3,104
162,Mid-Level,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,2,Análisis,Inicio/Conceptualización,2,1,2,3,3,,,3,4,2,144
163,Mid-Level,Actualización de guÃ­as tÃ©cnicas,Actualizar la documentación interna de procedimientos.,Plataforma Interna,1,Documentación,Mantenimiento,1,3,4,,,,,5,5,1,121
164,Junior,Creación de documentación de API,Generar documentación en Swagger para el backend.,Sistema de Gestión de Pedidos,4,Documentación,Inicio/Conceptualización,3,2,5,2,3,2,1,2,2,2,95
165,Senior,Actualización de guÃ­as tÃ©cnicas,Actualizar la documentación interna de procedimientos.,Plataforma Interna,4,Documentación,Transición/Implementación,1,1,4,,,,,2,3,2,90
166,Senior,Actualización de guÃ­as tÃ©cnicas,Actualizar la documentación interna de procedimientos.,Plataforma Interna,4,Documentación,Transición/Implementación,3,3,1,2,2,2,3,3,3,3,78
167,Senior,Test unitarios para módulo de facturación,Escribir pruebas unitarias con Jest para el módulo de facturación.,Sistema de Facturación,4,Testing,Elaboración/Requisitos,1,1,4,,,,,1,4,5,124
168,Mid-Level,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,1,DevOps,Mantenimiento,1,1,3,,,,,2,3,5,188
169,Senior,Elaboración de manual de usuario,Redactar documentación detallada para usuarios finales.,Portal de Clientes,3,Documentación,Inicio/Conceptualización,3,2,5,2,3,1,2,5,3,21,179
170,Junior,Implementación de microservicio de pagos,Desarrollar un microservicio en Node.js para procesar pagos.,Pasarela de Pagos,5,Backend,Inicio/Conceptualización,2,3,4,2,2,,,5,2,13,164
171,Senior,Creación de documentación de API,Generar documentación en Swagger para el backend.,Sistema de Gestión de Pedidos,4,Documentación,Inicio/Conceptualización,3,3,4,3,1,1,1,2,3,2,111
172,Junior,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,2,Análisis,Elaboración/Requisitos,2,2,1,1,3,,,1,2,3,55
173,Mid-Level,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,2,Análisis,Mantenimiento,2,1,2,1,2,,,1,3,3,141
174,Junior,Creación de API para gestión de usuarios,Desarrollar endpoints REST para CRUD de usuarios.,Plataforma de Servicios,3,Backend,Construcción/Desarrollo,1,2,1,,,,,4,1,3,110
175,Junior,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,4,Análisis,Inicio/Conceptualización,2,3,1,2,1,,,5,5,3,120
176,Junior,Implementación de CI/CD con GitHub Actions,Automatizar despliegues con integración continua.,Plataforma de Servicios,5,DevOps,Transición/Implementación,2,2,1,2,4,,,2,5,3,61
177,Junior,Optimización de consultas SQL,Refactorizar consultas pesadas y agregar Ã­ndices.,Sistema ERP,2,Backend,Elaboración/Requisitos,2,1,2,3,2,,,2,4,8,147
178,Junior,Optimización de consultas SQL,Refactorizar consultas pesadas y agregar Ã­ndices.,Sistema ERP,1,Backend,Mantenimiento,2,2,4,2,1,,,1,3,5,91
179,Mid-Level,Implementación de autenticación con OAuth,Configurar inicio de sesión con Google y Facebook en la app.,Portal de Clientes,3,Frontend,Mantenimiento,2,2,3,1,3,,,4,5,2,199
180,Junior,Pruebas de carga en API REST,Simular 1000+ usuarios concurrentes con JMeter.,Sistema de Reservas,2,Testing,Elaboración/Requisitos,1,2,3,,,,,3,4,5,74
181,Junior,Optimización de carga de imágenes,Implementar lazy loading y compresión de imágenes.,E-commerce,4,Frontend,Transición/Implementación,3,1,4,3,2,3,5,1,2,5,131
182,Mid-Level,Implementación de replicación de base de datos,Configurar un cluster de replicación en PostgreSQL.,Sistema de Inventario,1,Database,Mantenimiento,2,2,5,3,4,,,2,1,21,183
183,Mid-Level,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,2,Análisis,Transición/Implementación,2,3,1,1,1,,,5,5,3,68
184,Senior,Implementación de replicación de base de datos,Configurar un cluster de replicación en PostgreSQL.,Sistema de Inventario,2,Database,Mantenimiento,2,2,1,2,4,,,4,3,13,160
185,Mid-Level,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,1,Análisis,Elaboración/Requisitos,2,2,2,3,1,,,2,2,5,77
186,Mid-Level,Elaboración de manual de usuario,Redactar documentación detallada para usuarios finales.,Portal de Clientes,1,Documentación,Construcción/Desarrollo,2,2,5,3,2,,,2,5,8,170
187,Junior,Normalización de tablas en base de datos,Eliminar redundancias y mejorar eficiencia con tercera forma normal.,CRM Empresarial,1,Database,Construcción/Desarrollo,1,2,3,,,,,3,4,5,54
188,Mid-Level,Test unitarios para módulo de facturación,Escribir pruebas unitarias con Jest para el módulo de facturación.,Sistema de Facturación,5,Testing,Construcción/Desarrollo,1,1,4,,,,,1,2,8,123
189,Junior,Automatización de pruebas para checkout,Escribir pruebas automatizadas con Selenium para el flujo de compra.,E-commerce,2,Testing,Elaboración/Requisitos,3,2,1,2,4,2,5,5,2,1,133
190,Junior,Diseño de interfaz de usuario para el panel de administración,Crear la UI del panel de administración con React y Tailwind.,Sistema de Gestión Interna,1,Frontend,Construcción/Desarrollo,2,1,5,2,2,,,2,3,2,190
191,Senior,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,1,Análisis,Construcción/Desarrollo,2,3,2,1,3,,,1,3,21,109
192,Mid-Level,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,1,DevOps,Mantenimiento,1,3,4,,,,,2,5,8,117
193,Junior,Implementación de CI/CD con GitHub Actions,Automatizar despliegues con integración continua.,Plataforma de Servicios,2,DevOps,Inicio/Conceptualización,1,1,1,,,,,2,3,5,157
194,Senior,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,5,DevOps,Mantenimiento,3,3,2,3,3,1,3,3,3,13,198
195,Senior,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,2,DevOps,Construcción/Desarrollo,1,1,3,,,,,3,5,2,154
196,Mid-Level,Automatización de pruebas para checkout,Escribir pruebas automatizadas con Selenium para el flujo de compra.,E-commerce,4,Testing,Transición/Implementación,3,3,5,3,4,2,4,2,4,21,65
197,Mid-Level,Implementación de microservicio de pagos,Desarrollar un microservicio en Node.js para procesar pagos.,Pasarela de Pagos,5,Backend,Construcción/Desarrollo,1,3,4,,,,,2,4,21,82
198,Mid-Level,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,4,DevOps,Transición/Implementación,1,1,5,,,,,1,4,3,85
199,Junior,Implementación de CI/CD con GitHub Actions,Automatizar despliegues con integración continua.,Plataforma de Servicios,2,DevOps,Elaboración/Requisitos,3,3,1,1,4,2,5,1,1,5,108
200,Junior,Pruebas de carga en API REST,Simular 1000+ usuarios concurrentes con JMeter.,Sistema de Reservas,1,Testing,Mantenimiento,1,1,5,,,,,2,3,2,107
